Course,Professor,Day,Hour,Hall
Mobile Programming II,Dr. Lisa Anderson,1,1,208
Signal Processing,Dr. Sarah Martinez,1,2,208
Signal Processing,Dr. Sarah Martinez,1,3,208
IoT Architecture & Protocols/IoT Programming,Dr. Michael Brown,2,1,209
IoT Architecture & Protocols/IoT Programming,Dr. Michael Brown,2,2,209
Artificial Intelligence,Dr. Sarah Martinez,2,3,115
Artificial Intelligence,Dr. Sarah Martinez,2,4,115
Windows Programming I,Dr. Marcus Johnson,4,1,210
CCNA R&S II,Dr. Christopher Davis,5,1,101
CCNA R&S II,Dr. Christopher Davis,5,2,101
