Course,Professor,Day,Hour,Hall
Microprocessor,Dr. James White,1,1,115
Microprocessor,Dr. James White,1,2,115
Computer Architecture,Dr. James White,1,5,101
Computer Architecture,Dr. James White,1,6,101
Network Administration,Dr. Christopher Davis,2,1,208
Network Administration,Dr. Christopher Davis,2,2,208
Data Communication,Dr. Christopher Davis,2,3,208
Data Communication,Dr. Christopher Davis,2,4,208
Java Programming II,Dr. Rachel Green,4,1,208
CCNA R&S II,Dr. Christopher Davis,5,1,101
CCNA R&S II,Dr. Christopher Davis,5,2,101
